Variable,Label,Concept,Source,Report_Year
DP05_0020E,Estimate!!SEX AND AGE!!Total population!!16 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0020PE,Percent!!SEX AND AGE!!Total population!!16 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0025E,Estimate!!SEX AND AGE!!Total population!!18 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0025PE,Percent!!SEX AND AGE!!Total population!!18 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0022E,Estimate!!SEX AND AGE!!Total population!!21 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0022PE,Percent!!SEX AND AGE!!Total population!!21 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0023E,Estimate!!SEX AND AGE!!Total population!!62 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0023PE,Percent!!SEX AND AGE!!Total population!!62 years and over,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0008PE,Percent!!SEX AND AGE!!Total population!!15 to 19 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0008E,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0009PE,Percent!!SEX AND AGE!!Total population!!20 to 24 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0009E,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0010E,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0010PE,Percent!!SEX AND AGE!!Total population!!25 to 34 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0011E,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0011PE,Percent!!SEX AND AGE!!Total population!!35 to 44 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0012E,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0012PE,Percent!!SEX AND AGE!!Total population!!45 to 54 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0013E,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0013PE,Percent!!SEX AND AGE!!Total population!!55 to 59 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0018E,Estimate!!SEX AND AGE!!Total population!!Median age (years),ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0018PE,Percent!!SEX AND AGE!!Total population!!Median age (years),ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0014E,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0014PE,Percent!!SEX AND AGE!!Total population!!60 to 64 years,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0001PE,Percent!!SEX AND AGE!!Total population,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0001E,Estimate!!SEX AND AGE!!Total population,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
